Numeric_clinical_feature	p.value	Correlation(R)	p.adj
D_033_1.5_tipifarnib	0.000158396466769459	0.286586535590179	0.000446299478696337
D_001_4_navitoclax	0.000165425616671149	-0.285799392552743	0.000463191726679217
D_013_1.5_afatinib	0.000177371537629296	-0.284530535114874	0.000493555582968476
D_001_4.5_navitoclax	0.000179911346938822	-0.284271062891049	0.000497532613756742
D_063_1.5_everolimus	0.000215037142698704	-0.280994619159253	0.00059102233085288
D_032_1.5_NU7441	0.000250627798887294	0.278148343119498	0.000684319987386696
D_039_4_thapsigargin	0.000252037495354475	-0.27804352548264	0.000684319987386696
D_039_3_thapsigargin	0.000307148148100499	-0.274321133166169	0.000828929941861588
D_045_1_KU_60019	0.000326205664847624	0.273177468884133	0.000869881772926997
D_056_1.5_actinomycin_D	0.000325100899179779	-0.273242052981856	0.000869881772926997
D_012_2_selumetinib	0.000328915125610813	0.273019929805072	0.000871917019370676
D_039_4.5_thapsigargin	0.000353813233994453	-0.271626065672268	0.000932401934291264
D_023_1.5_ralimetinib	0.000360413793731683	0.271271809891794	0.000944241985916924
D_029_5_TAE684	0.000403303795981924	0.269106427564666	0.00105046570116222
D_039_2_thapsigargin	0.000430202269475931	-0.267854807145299	0.00111069207208369
D_159_1.5_doxorubicine	0.000431384867282505	-0.26780145750778	0.00111069207208369
D_013_4.5_afatinib	0.00045235353041183	-0.266877314404209	0.00115802503785428
D_078_1_PF_477736	0.000473804629582597	0.265972030701877	0.00120604814802843
D_043_1.5_SGX_523	0.000544289348857921	0.263243083167883	0.00137763631801327
D_168_2_sotrastaurin	0.000570912738193488	0.262296666808789	0.00143690397028473
D_053_3_sunitinib	0.000619078057866878	0.260683495087585	0.00154942441298526
D_043_2_SGX_523	0.00062357899584831	0.260538719650719	0.00155201883411135
D_164_4.5_BX912	0.000720026969181486	0.257647470787746	0.00178216619996301
D_081_5_venetoclax	0.000795756819341011	-0.255617444414822	0.00195878601683941
D_054_3_gefitinib	0.000802661343973859	0.255441310502139	0.00196498514808901
D_001_5_navitoclax	0.000880542732557101	-0.253545570688749	0.00214393013144338
D_001_3_navitoclax	0.00088808264351854	-0.253370310516632	0.00215060013133138
D_054_1_gefitinib	0.000930887100908793	0.252400518648634	0.00224213667315666
D_067_4.5_rotenone	0.00105378741317035	-0.249827709355485	0.00252458161016212
D_169_1_tofacitinib	0.00107745342226787	0.249364128659623	0.00256754858072343
D_081_4.5_venetoclax	0.00130076043021743	-0.245397771061089	0.00308328398273761
D_162_1.5_BML_277	0.001310543626162	-0.245238665741978	0.00309012391852935
D_001_1.5_navitoclax	0.00154915150450737	-0.241660117951926	0.00363361190586022
D_033_2_tipifarnib	0.00164228636297004	0.24039875605512	0.00383200151359676
D_063_3_everolimus	0.00182120204651539	-0.238148588936929	0.00422745345512381
D_048_3_orlistat	0.00205794432728559	-0.235462282518221	0.00475236628156672
D_006_2_fludarabine	0.00228422359663831	-0.233145559229133	0.00524785728868699
D_017_5_AT13387	0.00234321603285788	0.232575906286416	0.00535592236081801
D_006_3_fludarabine	0.0025812592026772	-0.23040203988547	0.00587007168933698
D_023_2_ralimetinib	0.00286830896873408	0.228010268932701	0.00648991120198418
D_165_4_silmitasertib	0.00331978569252767	-0.224654478286543	0.00747368839322812
D_063_4.5_everolimus	0.00336262471137212	-0.224357862021001	0.00753227935347355
D_083_4_encorafenib	0.00349393715512347	0.223469436722265	0.00778748181838465
D_063_2_everolimus	0.00414880562891882	-0.219443599617119	0.00920131149383976
D_056_4_actinomycin_D	0.00425797993102596	-0.218828856013381	0.00939692122709177
D_060_2_cephaeline	0.00430314066772155	0.218578696984835	0.00945003440754537
D_063_5_everolimus	0.00437181904739287	-0.218202751489571	0.00950764530695148
D_071_5_KX2_391	0.00435980165456874	0.218268149948505	0.00950764530695148
D_071_1.5_KX2_391	0.00447357125065384	0.217655398464363	0.0096819319820914
D_063_4_everolimus	0.00461817190622075	-0.216896476294885	0.00994683179801392
D_023_1_ralimetinib	0.00469132925416117	0.216520607726478	0.0100560550519818
D_054_4_gefitinib	0.00530853283983406	0.213543354252306	0.0113248700583127
D_168_3_sotrastaurin	0.00545478271976133	0.212883540639334	0.0115817187604411
D_006_1_fludarabine	0.00556169348045701	-0.21241114738186	0.0116104422533049
D_023_5_ralimetinib	0.0055719756349566	0.212366144010722	0.0116104422533049
D_043_3_SGX_523	0.00556425708167754	0.212399919945267	0.0116104422533049
D_084_3_ruxolitinib	0.00555110525965329	0.212457568176838	0.0116104422533049
D_039_5_thapsigargin	0.00567880544648925	-0.211902909044173	0.011778263148274
D_024_5_SGI_1776	0.00612268510424982	0.210057925458503	0.0126403821507093
D_172_1_BIX02188	0.00622542295404624	0.209647969955435	0.0127935297404253
D_048_4_orlistat	0.00639072386707208	-0.209000866304591	0.0130732616093529
D_CHK_1.5_BML_277_and_rabusertib	0.00687856535901783	0.207174528194884	0.0140072603674545
D_081_4_venetoclax	0.00706950265778084	-0.206491002007852	0.0143309375144155
D_075_3_rabusertib	0.00717012609419692	0.20613736991402	0.0144694436495505
D_CHK_1_BML_277_and_rabusertib	0.0075369547028792	0.204884486397875	0.0151415054120623
D_006_1.5_fludarabine	0.00848775529506273	-0.20187289268204	0.0169755105901255
D_159_2_doxorubicine	0.00920346880355817	-0.199797350573717	0.0183251289955292
D_043_1_SGX_523	0.00932374114285256	0.19946267738292	0.0184010397885372
D_067_1.5_rotenone	0.00931329708666092	-0.199491587478506	0.0184010397885372
D_032_3_NU7441	0.0100307533584312	0.197569148608664	0.0197095504586718
D_CHK_2_BML_277_and_rabusertib	0.0103647952541528	0.196715205090573	0.020276979361836
D_023_4.5_ralimetinib	0.0111559989607227	0.194785519559931	0.0217299458017555
D_023_3_ralimetinib	0.0119981428498456	0.192859692577488	0.0232691255269733
D_127_2_SD07	0.0123007891291748	0.192196549768981	0.0237532479735789
D_172_3_BIX02188	0.0131007469401969	0.190510287598763	0.0251894190094773
D_060_3_cephaeline	0.0134753298644758	0.189751531641579	0.0257989221336973
D_127_4.5_SD07	0.0139989406447904	0.188721280913686	0.0266873421653877
D_060_1.5_cephaeline	0.0151987260766243	0.186482077580911	0.0288518189929139
D_127_4_SD07	0.0158547213672066	0.185322280392342	0.0299701062131163
D_067_4_rotenone	0.0164471104617757	-0.184310335058335	0.0309592667515778
D_048_4.5_orlistat	0.0167782534722924	-0.183758411920858	0.0314504500233765
D_013_5_afatinib	0.0176081128412345	-0.182415797034726	0.0328684773036377
D_024_1_SGI_1776	0.0185307859642218	0.180986076651052	0.034447270174155
D_163_5_CCT241533	0.0197047123076923	0.179253702632963	0.0364781450985378
D_035_1_saracatinib	0.0200254885952106	0.178795897629814	0.0369194193031043
D_020_1_AZD7762	0.0216057334981946	0.176629099353068	0.039669543472095
D_084_4_ruxolitinib	0.0225272608560124	0.175427904874694	0.0411927055652798
D_165_4.5_silmitasertib	0.0247749077481395	-0.172666567854471	0.0451185311836036
D_083_4.5_encorafenib	0.0256277121573412	0.171674985766489	0.0464826520100763
D_060_1_cephaeline	0.0263086363775689	0.170903364364006	0.0475252786175438
D_012_1_selumetinib	0.0275229529839144	0.169568768101977	0.0495192085815006
D_054_4.5_gefitinib	0.0280766799556188	0.168976844589939	0.0503134104804689
D_056_2_actinomycin_D	0.0286348585496156	0.168390169308758	0.0511092296025011
D_067_3_rotenone	0.0302802410126441	-0.166715812784186	0.053831539578034
D_021_1_rigosertib	0.031193010380264	0.165820128248309	0.0552350539539853
D_049_5_chaetoglobosin_A	0.031801355832543	0.165235471071918	0.0560905803660601
D_040_5_YM155	0.0321637289676589	0.164891710118803	0.056450371936892
D_041_3_BAY_11_7085	0.0322573553925097	0.164803427482643	0.056450371936892
D_071_3_KX2_391	0.0334115902614386	0.16373256376089	0.0582427721288891
D_035_4_saracatinib	0.0355023308894862	0.161870231560495	0.0616474582887202
D_056_3_actinomycin_D	0.0358830305217157	0.1615411596098	0.0620679446862109
D_127_5_SD07	0.0365308004715668	0.160987955069257	0.0629453792740843
D_004_2_SNS_032	0.0372356401265554	0.160395343313239	0.0639140489528614
D_074_3_VE_821	0.0381987137379931	0.15960072851021	0.0653168845596218
D_043_5_SGX_523	0.0391566091062385	0.158826957806696	0.0667002314813492
D_034_4_chaetocin	0.0394110624354871	-0.158624095675377	0.0668793786784024
D_056_1_actinomycin_D	0.0406363348698015	0.157662403694447	0.0686984076289474
D_040_4.5_YM155	0.0408981276198425	0.157460093371701	0.0688810570439453
D_008_3_bortezomib	0.0419171647922923	-0.156682802798102	0.0703329207001759
D_013_1_afatinib	0.0422587829843573	0.156425774054867	0.0706415476753435
D_008_1_bortezomib	0.0425867889362151	0.156180621010175	0.0709252098268564
D_067_2_rotenone	0.0449567244467916	-0.154454829460924	0.0745948613043061
D_127_1.5_SD07	0.0462451487776214	0.153548289880039	0.0764495448427099
D_034_4.5_chaetocin	0.0481342576276165	-0.152256477963397	0.0792799537396036
D_049_4.5_chaetoglobosin_A	0.0527134794531175	0.14929184331481	0.0865041714102441
D_162_2_BML_277	0.0551333325110763	-0.147810557568557	0.0901450108210299
D_011_1_enzastaurin	0.0559250843911535	0.14733756392007	0.0911070465717701
D_006_4_fludarabine	0.0567417387329624	-0.146855448958448	0.0921025324361129
D_060_4_cephaeline	0.0604230652215333	0.144750640482166	0.0977239466398806
D_071_1_KX2_391	0.0607625815891286	0.144561879883056	0.0979195559421929
D_011_2_enzastaurin	0.0634949451492525	0.143073474289489	0.101956040956506
D_060_4.5_cephaeline	0.0661212767451093	0.1416914672148	0.105794042792175
D_040_1.5_YM155	0.0690036200853273	0.140225405081934	0.110012888961661
D_066_3_arsenic_trioxide	0.0695138658435813	0.139971094711862	0.110433375524555
D_024_2_SGI_1776	0.0698903068013538	0.139784445643242	0.110639072250906
D_004_1_SNS_032	0.0732543658370611	0.138151746073309	0.115556182728885
D_081_1.5_venetoclax	0.0754498896052545	-0.137118688134087	0.118601931730365
D_010_3_nutlin_3	0.0762169687315671	-0.136763488157888	0.119388818152944
D_041_1_BAY_11_7085	0.0769245860184212	-0.136438375430526	0.12007740256534
D_040_4_YM155	0.078743965022496	0.135613417518901	0.122490612257216
D_023_4_ralimetinib	0.0796010200920838	0.135230121025933	0.123395352945514
D_149_4_MIS_43	0.0799763674498987	0.1350633025967	0.123549698681223
D_008_1.5_bortezomib	0.0807637973527281	-0.134715377597369	0.124337392488049
D_034_3_chaetocin	0.0813327900735885	-0.134465663951903	0.12435866878146
D_169_1.5_tofacitinib	0.0810572667138033	0.134586406692969	0.12435866878146
D_149_4.5_MIS_43	0.0819736789407257	0.134186074162307	0.124912272671582
D_149_1_MIS_43	0.0837982130032108	-0.133399620501011	0.127259659069283
D_159_1_doxorubicine	0.0849219839957274	0.132922039993188	0.128530570371912
D_049_4_chaetoglobosin_A	0.0887714516225907	0.131323539140073	0.133904411875154
D_045_4_KU_60019	0.0933787297454991	0.129481545646135	0.140381446060348
D_159_4_doxorubicine	0.0998457362907757	-0.127014220608026	0.149601638321965
D_043_4.5_SGX_523	0.102900027071769	0.125892683860277	0.153664040427175
D_077_4_SCH_900776	0.104787397376165	0.125212697958475	0.155962637955222
D_008_4_bortezomib	0.106797826911099	-0.124498893314371	0.158428564424412
D_164_1_BX912	0.107850271216994	0.124129422887426	0.159461787145919
D_033_3_tipifarnib	0.111737719143693	0.122788733534758	0.164666112422284
D_008_4.5_bortezomib	0.116233266137359	-0.121283046826259	0.170729518785367
D_006_4.5_fludarabine	0.116653189130223	-0.121144734772518	0.170786368399804
D_049_2_chaetoglobosin_A	0.123490961125044	-0.118945197873591	0.180208308091269
D_149_5_MIS_43	0.124296336360426	0.118692390873743	0.180794671069711
D_167_4_UCN_01	0.125601632778876	0.11828533479755	0.182102043640571
D_172_5_BIX02188	0.128285425827146	0.117458547854939	0.18539313151794
D_010_4_nutlin_3	0.130136239066382	-0.116896106914115	0.187463135375367
D_159_4.5_doxorubicine	0.130977755681808	-0.116642412990374	0.18746975893115
D_CHK_3_BML_277_and_rabusertib	0.130975612918914	0.116643057380675	0.18746975893115
D_041_4_BAY_11_7085	0.131941691850868	0.116353347557984	0.187901699726076
D_041_4.5_BAY_11_7085	0.132118382619897	0.116300537516954	0.187901699726076
D_015_5_MK_1775	0.13620123888634	0.115095058083366	0.1930954272819
D_021_2_rigosertib	0.137341200948885	-0.114763427378718	0.194097343927762
D_075_4_rabusertib	0.142251793939762	0.11335843788186	0.19991654676696
D_167_4.5_UCN_01	0.142351291113081	0.113330354972664	0.19991654676696
D_011_1.5_enzastaurin	0.143723923959466	0.112944447028028	0.201213493543252
D_127_3_SD07	0.148843639302921	0.11152929273747	0.207731932734295
D_010_4.5_nutlin_3	0.151179628629761	-0.110895817352271	0.21033687461532
D_002_1_ibrutinib	0.155099316814646	0.109849275931817	0.215122272238271
D_001_1_navitoclax	0.156114543569216	0.109581466823262	0.215862084935212
D_010_1.5_nutlin_3	0.157551230057197	-0.109204708142973	0.217178310971152
D_141_5_SD51	0.162973809623603	0.107805487826013	0.223964008317099
D_048_5_orlistat	0.163492145047387	-0.107673572613073	0.223989238474708
D_067_1_rotenone	0.16945659082245	-0.106177629703899	0.23145290453798
D_081_1_venetoclax	0.179865690690415	0.103658003833918	0.244923493706097
D_077_4.5_SCH_900776	0.181311714970312	0.103316563565853	0.245400750171298
D_172_4.5_BIX02188	0.180836387700046	0.103428577672308	0.245400750171298
D_075_4.5_rabusertib	0.182887311038603	0.10294680088326	0.246787696823175
D_034_1.5_chaetocin	0.186474049940054	-0.102113700020539	0.250871995114547
D_071_2_KX2_391	0.197742242027722	0.0995703259396648	0.2652351030791
D_066_1_arsenic_trioxide	0.198418299444748	0.0994211182764249	0.265347457167902
D_081_2_venetoclax	0.204846823694917	0.0980203803732259	0.273129098259889
D_010_1_nutlin_3	0.208585667096706	-0.0972202354230618	0.277288958039538
D_164_5_BX912	0.210336004999942	0.0968491866987168	0.27878855100584
D_084_4.5_ruxolitinib	0.212741222481849	0.0963429063001524	0.281144742394892
D_025_4.5_NSC_74859	0.215655580208821	-0.095734913958976	0.284157940981035
D_045_4.5_KU_60019	0.218472883048578	0.0951527191536558	0.287025957788161
D_041_5_BAY_11_7085	0.230620363447688	0.0927017923292953	0.302099189545509
D_025_2_NSC_74859	0.2335984792933	-0.0921148924999945	0.305108217852473
D_007_3_vorinostat	0.237395605914755	-0.0913741625342198	0.309166370493634
