#PAIRS OMICS (TRASCRIPTOMICS-METHYLOMICS)#
IKBKG	ZDHHC9	FHL1	DLG3	VBP1	SMARCA1	TSPYL2	OTUD5	FAM120C	FGD1	KDM5C	UBA1	KDM6A	ZFX	TXLNG	SMC1A	USP9X	EIF1AX	EIF2S3	CDK16	Pubmed_ID	Keywords	DOI	tot_match	tot_word	Keywords_text_mined
0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	25649377		10.1038/ejhg.2015.5	4	4	autism center 2/development institute 2/human genetics 2/intellectual disability 2/neurodevelopmental disorders 2/pathogenic variants 2/seaver autism 2/seaver autism center 2
0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	3	0	0	0	0	26059843		10.1038/ejhg.2015.123	10	3	autism center 2/development institute 2/human genetics 2/intellectual disability 2/neurodevelopmental disorders 2/pathogenic variants 2/seaver autism 2/seaver autism center 2
0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	27168161		10.1089/scd.2015.0384	4	2	autism center 2/development institute 2/human genetics 2/intellectual disability 2/neurodevelopmental disorders 2/pathogenic variants 2/seaver autism 2/seaver autism center 2
0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	36879111		10.1038/s41431-023-01324-w	2	2	autism center 2/development institute 2/human genetics 2/intellectual disability 2/neurodevelopmental disorders 2/pathogenic variants 2/seaver autism 2/seaver autism center 2
0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	29572065	Benign variation/Clinical genetics/Long contiguous stretches of homozygosity/Pericentromeric regions of homozygosity/Runs of homozygosity/SNP microarray/X chromosome	10.1016/j.ejmg.2018.02.008	2	2	autism center 2/development institute 2/human genetics 2/intellectual disability 2/neurodevelopmental disorders 2/pathogenic variants 2/seaver autism 2/seaver autism center 2
0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	26740508	Epilepsy/Intellectual disability/Rett syndrome/Whole exome sequencing	10.1136/jmedgenet-2015-103568	2	2	autism center 2/development institute 2/human genetics 2/intellectual disability 2/neurodevelopmental disorders 2/pathogenic variants 2/seaver autism 2/seaver autism center 2
#SINGLE OMICS (TRASCRIPTOMICS)#
KDM5C	UBA1	KDM6A	ZFX	TXLNG	SMC1A	USP9X	EIF1AX	EIF2S3	CDK16	Pubmed_ID	Keywords	DOI	tot_match	tot_word	Keywords_text_mined
0	0	0	0	0	15	0	0	0	0	37096492	SMC1A/cancer stem cells/colorectal cancer/immune checkpoint inhibitor/immune microenvironment	10.1002/cam4.5891	15	1	chromatin immunoprecipitation 3/blood samples 2/breast cancer 2/cancer genome 2/cancer genome atlas 2/colorectal cancer 2/disease pathogenesis 2/expression patterns 2/genome atlas 2/highly expressed 2
0	0	0	14	0	0	0	0	0	0	37864206	CD34+ cells/Chronic myeloid leukemia/Imatinib mesylate/WNT3/ZFX	10.1186/s11658-023-00496-z	14	1	chromatin immunoprecipitation 3/blood samples 2/breast cancer 2/cancer genome 2/cancer genome atlas 2/colorectal cancer 2/disease pathogenesis 2/expression patterns 2/genome atlas 2/highly expressed 2
0	0	0	13	0	0	0	0	0	0	38310188	Glycolysis/Pulmonary arterial hypertension/YAP pathway/ZFX	10.1007/s12012-023-09822-5	13	1	chromatin immunoprecipitation 3/blood samples 2/breast cancer 2/cancer genome 2/cancer genome atlas 2/colorectal cancer 2/disease pathogenesis 2/expression patterns 2/genome atlas 2/highly expressed 2
0	0	0	0	0	13	0	0	0	0	38282144	FOXM1/SMC1A/apoptosis/breast cancer/cell proliferation	10.1002/jgm.3661	13	1	chromatin immunoprecipitation 3/blood samples 2/breast cancer 2/cancer genome 2/cancer genome atlas 2/colorectal cancer 2/disease pathogenesis 2/expression patterns 2/genome atlas 2/highly expressed 2
13	0	0	0	0	0	0	0	0	0	38216914	Apoptosis/Autophagy/Colorectal cancer/Lysine demethylase 5C/Prefoldin subunit 5	10.1186/s10020-023-00775-7	13	1	chromatin immunoprecipitation 3/blood samples 2/breast cancer 2/cancer genome 2/cancer genome atlas 2/colorectal cancer 2/disease pathogenesis 2/expression patterns 2/genome atlas 2/highly expressed 2
#SINGLE OMICS (METHYLOMICS)#
IKBKG	ZDHHC9	FHL1	DLG3	VBP1	SMARCA1	TSPYL2	OTUD5	FAM120C	FGD1	Pubmed_ID	Keywords	DOI	tot_match	tot_word	Keywords_text_mined
0	0	0	0	0	0	19	0	0	0	37696385	AKT/Cell cycle/Papillary thyroid cancer/SIRT1/TSPYL2	10.1016/j.yexcr.2023.113777	19	1	author information 15/tumor suppressor 5/cancer cells 4/colony formation 4/promoted proliferation 3/adjacent normal 2/anti-fhl1 autoantibodies 2/cancer development 2/chain reaction 2/clinical features 2
0	0	15	0	0	0	0	0	0	0	35717564	FHL1/Gene Expression/Invasion/Lung Cancer/rho GDP-Dissociation Inhibitor Beta	10.22074/cellj.2022.8031	15	1	author information 15/tumor suppressor 5/cancer cells 4/colony formation 4/promoted proliferation 3/adjacent normal 2/anti-fhl1 autoantibodies 2/cancer development 2/chain reaction 2/clinical features 2
0	0	15	0	0	0	0	0	0	0	33055253	CD2AP/FHL1/FHL2/FHL3/alphaviruses/chikungunya virus/intrinsically disordered proteins/nsP3/nuclear magnetic resonance/viral replication	10.1128/JVI.01672-20	15	1	author information 15/tumor suppressor 5/cancer cells 4/colony formation 4/promoted proliferation 3/adjacent normal 2/anti-fhl1 autoantibodies 2/cancer development 2/chain reaction 2/clinical features 2
0	0	15	0	0	0	0	0	0	0	32908787	Breast neoplasms/FHL1 protein, human/MicroRNAs/Neoplasm metastasis	10.4048/jbc.2020.23.e47	15	1	author information 15/tumor suppressor 5/cancer cells 4/colony formation 4/promoted proliferation 3/adjacent normal 2/anti-fhl1 autoantibodies 2/cancer development 2/chain reaction 2/clinical features 2
0	0	14	0	0	0	0	0	0	0	35022656	DM/IBM/PM/SSc, anti-FHL1 autoantibodies/myositis-associated autoantibodies/myositis-specific autoantibodies	10.1093/rheumatology/keac003	14	1	author information 15/tumor suppressor 5/cancer cells 4/colony formation 4/promoted proliferation 3/adjacent normal 2/anti-fhl1 autoantibodies 2/cancer development 2/chain reaction 2/clinical features 2
0	0	0	0	0	0	0	13	0	0	38036082	Metabolism/Mitochondrial Function/Ovarian Tumor Domain-Containing Protein/Ubiquitination	10.1016/j.jcmgh.2023.11.014	13	1	author information 15/tumor suppressor 5/cancer cells 4/colony formation 4/promoted proliferation 3/adjacent normal 2/anti-fhl1 autoantibodies 2/cancer development 2/chain reaction 2/clinical features 2
0	0	13	0	0	0	0	0	0	0	35961028	FHL1 autoantibodies/juvenile idiopathic inflammatory myopathies/myositis/myositis-associated autoantibodies	10.1093/rheumatology/keac428	13	1	author information 15/tumor suppressor 5/cancer cells 4/colony formation 4/promoted proliferation 3/adjacent normal 2/anti-fhl1 autoantibodies 2/cancer development 2/chain reaction 2/clinical features 2
0	0	0	0	0	0	0	0	0	12	38411716	FGD1/Aarskog–Scott syndrome/Genotype–phenotype correlation analysis/Growth hormone treatment/Short stature	10.1007/s00431-024-05484-9	12	1	author information 15/tumor suppressor 5/cancer cells 4/colony formation 4/promoted proliferation 3/adjacent normal 2/anti-fhl1 autoantibodies 2/cancer development 2/chain reaction 2/clinical features 2
0	0	12	0	0	0	0	0	0	0	34335951	Colorectal cancer/FHL1/RNA sequencing/Wnt/β-catenin signaling pathway	10.7150/jca.60543	12	1	author information 15/tumor suppressor 5/cancer cells 4/colony formation 4/promoted proliferation 3/adjacent normal 2/anti-fhl1 autoantibodies 2/cancer development 2/chain reaction 2/clinical features 2
0	0	11	0	0	0	0	0	0	0	36017148		10.1155/2022/7891222	11	1	author information 15/tumor suppressor 5/cancer cells 4/colony formation 4/promoted proliferation 3/adjacent normal 2/anti-fhl1 autoantibodies 2/cancer development 2/chain reaction 2/clinical features 2
0	0	0	0	0	0	0	11	0	0	35765958		10.17305/bjbms.2022.7206	11	1	author information 15/tumor suppressor 5/cancer cells 4/colony formation 4/promoted proliferation 3/adjacent normal 2/anti-fhl1 autoantibodies 2/cancer development 2/chain reaction 2/clinical features 2
0	0	10	0	0	0	0	0	0	0	38191984	Invasion/Migration/Papillary thyroid cancer/Proliferation/Wnt/β-catenin signaling pathway	10.1007/s12020-023-03675-2	10	1	author information 15/tumor suppressor 5/cancer cells 4/colony formation 4/promoted proliferation 3/adjacent normal 2/anti-fhl1 autoantibodies 2/cancer development 2/chain reaction 2/clinical features 2
0	0	0	0	0	0	10	0	0	0	36918555		10.1038/s41419-023-05722-2	10	1	author information 15/tumor suppressor 5/cancer cells 4/colony formation 4/promoted proliferation 3/adjacent normal 2/anti-fhl1 autoantibodies 2/cancer development 2/chain reaction 2/clinical features 2
0	0	10	0	0	0	0	0	0	0	36184652	Airway inflammation/Airway smooth muscle cells/Asthma/Four-and-a-half LIM protein 1/MAPK pathway/MicroRNA-224-5p	10.1186/s13223-022-00724-9	10	1	author information 15/tumor suppressor 5/cancer cells 4/colony formation 4/promoted proliferation 3/adjacent normal 2/anti-fhl1 autoantibodies 2/cancer development 2/chain reaction 2/clinical features 2
0	0	10	0	0	0	0	0	0	0	35916339	FHL1/acute myeloid leukemia/cell cycle/cell differentiation/cycle cellulaire/différenciation cellulaire/leucémie myéloïde aiguë	10.1139/bcb-2021-0507	10	1	author information 15/tumor suppressor 5/cancer cells 4/colony formation 4/promoted proliferation 3/adjacent normal 2/anti-fhl1 autoantibodies 2/cancer development 2/chain reaction 2/clinical features 2
#PAIRS OMICS (TRASCRIPTOMICS-METHYLOMICS)#
IKBKG	ZDHHC9	FHL1	DLG3	VBP1	SMARCA1	TSPYL2	OTUD5	FAM120C	FGD1	KDM5C	UBA1	KDM6A	ZFX	TXLNG	SMC1A	USP9X	EIF1AX	EIF2S3	CDK16	Pubmed_ID	Keywords	DOI	tot_match	tot_word	Keywords_text_mined
0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	25649377		10.1038/ejhg.2015.5	4	4	autism center 2/development institute 2/human genetics 2/intellectual disability 2/neurodevelopmental disorders 2/pathogenic variants 2/seaver autism 2/seaver autism center 2
0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	3	0	0	0	0	26059843		10.1038/ejhg.2015.123	10	3	autism center 2/development institute 2/human genetics 2/intellectual disability 2/neurodevelopmental disorders 2/pathogenic variants 2/seaver autism 2/seaver autism center 2
0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	27168161		10.1089/scd.2015.0384	4	2	autism center 2/development institute 2/human genetics 2/intellectual disability 2/neurodevelopmental disorders 2/pathogenic variants 2/seaver autism 2/seaver autism center 2
0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	36879111		10.1038/s41431-023-01324-w	2	2	autism center 2/development institute 2/human genetics 2/intellectual disability 2/neurodevelopmental disorders 2/pathogenic variants 2/seaver autism 2/seaver autism center 2
0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	29572065	Benign variation/Clinical genetics/Long contiguous stretches of homozygosity/Pericentromeric regions of homozygosity/Runs of homozygosity/SNP microarray/X chromosome	10.1016/j.ejmg.2018.02.008	2	2	autism center 2/development institute 2/human genetics 2/intellectual disability 2/neurodevelopmental disorders 2/pathogenic variants 2/seaver autism 2/seaver autism center 2
0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	26740508	Epilepsy/Intellectual disability/Rett syndrome/Whole exome sequencing	10.1136/jmedgenet-2015-103568	2	2	autism center 2/development institute 2/human genetics 2/intellectual disability 2/neurodevelopmental disorders 2/pathogenic variants 2/seaver autism 2/seaver autism center 2
#SINGLE OMICS (TRASCRIPTOMICS)#
KDM5C	UBA1	KDM6A	ZFX	TXLNG	SMC1A	USP9X	EIF1AX	EIF2S3	CDK16	Pubmed_ID	Keywords	DOI	tot_match	tot_word	Keywords_text_mined
1	0	1	0	0	1	0	0	0	0	38170291	Epigenetics/Genotypes/MDEMs/Phenotypes/Short stature	10.1007/s00431-023-05385-3	3	3	chromatin immunoprecipitation 3/blood samples 2/breast cancer 2/cancer genome 2/cancer genome atlas 2/colorectal cancer 2/disease pathogenesis 2/expression patterns 2/genome atlas 2/highly expressed 2
0	0	1	1	0	0	0	0	1	0	36978128	DNA methylation/Epigenetics/Genetics/RNA expression/Sex chromosome aneuploidies	10.1186/s13073-023-01169-4	3	3	chromatin immunoprecipitation 3/blood samples 2/breast cancer 2/cancer genome 2/cancer genome atlas 2/colorectal cancer 2/disease pathogenesis 2/expression patterns 2/genome atlas 2/highly expressed 2
0	3	0	0	0	0	0	0	0	3	38405903		10.1101/2024.02.13.580120	6	2	chromatin immunoprecipitation 3/blood samples 2/breast cancer 2/cancer genome 2/cancer genome atlas 2/colorectal cancer 2/disease pathogenesis 2/expression patterns 2/genome atlas 2/highly expressed 2
2	0	2	0	0	0	0	0	0	0	37657612	Experimental autoimmune encephalomyelitis/KDM5c/KDM6A/Multiple sclerosis/Sex differences/Th17 cell	10.1016/j.brainresbull.2023.110748	4	2	chromatin immunoprecipitation 3/blood samples 2/breast cancer 2/cancer genome 2/cancer genome atlas 2/colorectal cancer 2/disease pathogenesis 2/expression patterns 2/genome atlas 2/highly expressed 2
1	0	1	0	0	0	0	0	0	0	38030664		10.1038/s41598-023-47977-x	2	2	chromatin immunoprecipitation 3/blood samples 2/breast cancer 2/cancer genome 2/cancer genome atlas 2/colorectal cancer 2/disease pathogenesis 2/expression patterns 2/genome atlas 2/highly expressed 2
0	0	1	0	0	0	1	0	0	0	37768037	breast cancer stem cells/hypoxia/pluripotency factors/self-renewal/telomerase	10.1093/stcltm/szad061	2	2	chromatin immunoprecipitation 3/blood samples 2/breast cancer 2/cancer genome 2/cancer genome atlas 2/colorectal cancer 2/disease pathogenesis 2/expression patterns 2/genome atlas 2/highly expressed 2
0	1	0	0	0	0	1	0	0	0	37323201	Autism spectrum disorder/Chromosomal microarray analysis/Clinical exome sequencing/Intellectual disability/Whole-exome sequencing	10.1159/000529018	2	2	chromatin immunoprecipitation 3/blood samples 2/breast cancer 2/cancer genome 2/cancer genome atlas 2/colorectal cancer 2/disease pathogenesis 2/expression patterns 2/genome atlas 2/highly expressed 2
1	0	1	0	0	0	0	0	0	0	36849419	CRISPR/Egr3/Nab2/addiction/cocaine/drug	10.1523/JNEUROSCI.1802-22.2022	2	2	chromatin immunoprecipitation 3/blood samples 2/breast cancer 2/cancer genome 2/cancer genome atlas 2/colorectal cancer 2/disease pathogenesis 2/expression patterns 2/genome atlas 2/highly expressed 2
0	23	0	0	0	0	0	0	0	0	38091008		10.1182/bloodadvances.2023010531	23	1	chromatin immunoprecipitation 3/blood samples 2/breast cancer 2/cancer genome 2/cancer genome atlas 2/colorectal cancer 2/disease pathogenesis 2/expression patterns 2/genome atlas 2/highly expressed 2
0	0	15	0	0	0	0	0	0	0	38164755	ENaC/ERK/FGFR1/NCC/methylation/p-SPAK	10.1161/HYPERTENSIONAHA.123.22026	15	1	chromatin immunoprecipitation 3/blood samples 2/breast cancer 2/cancer genome 2/cancer genome atlas 2/colorectal cancer 2/disease pathogenesis 2/expression patterns 2/genome atlas 2/highly expressed 2
0	0	0	0	0	15	0	0	0	0	37096492	SMC1A/cancer stem cells/colorectal cancer/immune checkpoint inhibitor/immune microenvironment	10.1002/cam4.5891	15	1	chromatin immunoprecipitation 3/blood samples 2/breast cancer 2/cancer genome 2/cancer genome atlas 2/colorectal cancer 2/disease pathogenesis 2/expression patterns 2/genome atlas 2/highly expressed 2
0	0	0	14	0	0	0	0	0	0	37864206	CD34+ cells/Chronic myeloid leukemia/Imatinib mesylate/WNT3/ZFX	10.1186/s11658-023-00496-z	14	1	chromatin immunoprecipitation 3/blood samples 2/breast cancer 2/cancer genome 2/cancer genome atlas 2/colorectal cancer 2/disease pathogenesis 2/expression patterns 2/genome atlas 2/highly expressed 2
0	0	0	13	0	0	0	0	0	0	38310188	Glycolysis/Pulmonary arterial hypertension/YAP pathway/ZFX	10.1007/s12012-023-09822-5	13	1	chromatin immunoprecipitation 3/blood samples 2/breast cancer 2/cancer genome 2/cancer genome atlas 2/colorectal cancer 2/disease pathogenesis 2/expression patterns 2/genome atlas 2/highly expressed 2
0	0	0	0	0	13	0	0	0	0	38282144	FOXM1/SMC1A/apoptosis/breast cancer/cell proliferation	10.1002/jgm.3661	13	1	chromatin immunoprecipitation 3/blood samples 2/breast cancer 2/cancer genome 2/cancer genome atlas 2/colorectal cancer 2/disease pathogenesis 2/expression patterns 2/genome atlas 2/highly expressed 2
13	0	0	0	0	0	0	0	0	0	38216914	Apoptosis/Autophagy/Colorectal cancer/Lysine demethylase 5C/Prefoldin subunit 5	10.1186/s10020-023-00775-7	13	1	chromatin immunoprecipitation 3/blood samples 2/breast cancer 2/cancer genome 2/cancer genome atlas 2/colorectal cancer 2/disease pathogenesis 2/expression patterns 2/genome atlas 2/highly expressed 2
#SINGLE OMICS (METHYLOMICS)#
IKBKG	ZDHHC9	FHL1	DLG3	VBP1	SMARCA1	TSPYL2	OTUD5	FAM120C	FGD1	Pubmed_ID	Keywords	DOI	tot_match	tot_word	Keywords_text_mined
0	0	0	0	0	0	19	0	0	0	37696385	AKT/Cell cycle/Papillary thyroid cancer/SIRT1/TSPYL2	10.1016/j.yexcr.2023.113777	19	1	author information 15/tumor suppressor 5/cancer cells 4/colony formation 4/promoted proliferation 3/adjacent normal 2/anti-fhl1 autoantibodies 2/cancer development 2/chain reaction 2/clinical features 2
0	0	15	0	0	0	0	0	0	0	35717564	FHL1/Gene Expression/Invasion/Lung Cancer/rho GDP-Dissociation Inhibitor Beta	10.22074/cellj.2022.8031	15	1	author information 15/tumor suppressor 5/cancer cells 4/colony formation 4/promoted proliferation 3/adjacent normal 2/anti-fhl1 autoantibodies 2/cancer development 2/chain reaction 2/clinical features 2
0	0	15	0	0	0	0	0	0	0	33055253	CD2AP/FHL1/FHL2/FHL3/alphaviruses/chikungunya virus/intrinsically disordered proteins/nsP3/nuclear magnetic resonance/viral replication	10.1128/JVI.01672-20	15	1	author information 15/tumor suppressor 5/cancer cells 4/colony formation 4/promoted proliferation 3/adjacent normal 2/anti-fhl1 autoantibodies 2/cancer development 2/chain reaction 2/clinical features 2
0	0	15	0	0	0	0	0	0	0	32908787	Breast neoplasms/FHL1 protein, human/MicroRNAs/Neoplasm metastasis	10.4048/jbc.2020.23.e47	15	1	author information 15/tumor suppressor 5/cancer cells 4/colony formation 4/promoted proliferation 3/adjacent normal 2/anti-fhl1 autoantibodies 2/cancer development 2/chain reaction 2/clinical features 2
0	0	14	0	0	0	0	0	0	0	35022656	DM/IBM/PM/SSc, anti-FHL1 autoantibodies/myositis-associated autoantibodies/myositis-specific autoantibodies	10.1093/rheumatology/keac003	14	1	author information 15/tumor suppressor 5/cancer cells 4/colony formation 4/promoted proliferation 3/adjacent normal 2/anti-fhl1 autoantibodies 2/cancer development 2/chain reaction 2/clinical features 2
0	0	0	0	0	0	0	13	0	0	38036082	Metabolism/Mitochondrial Function/Ovarian Tumor Domain-Containing Protein/Ubiquitination	10.1016/j.jcmgh.2023.11.014	13	1	author information 15/tumor suppressor 5/cancer cells 4/colony formation 4/promoted proliferation 3/adjacent normal 2/anti-fhl1 autoantibodies 2/cancer development 2/chain reaction 2/clinical features 2
0	0	13	0	0	0	0	0	0	0	35961028	FHL1 autoantibodies/juvenile idiopathic inflammatory myopathies/myositis/myositis-associated autoantibodies	10.1093/rheumatology/keac428	13	1	author information 15/tumor suppressor 5/cancer cells 4/colony formation 4/promoted proliferation 3/adjacent normal 2/anti-fhl1 autoantibodies 2/cancer development 2/chain reaction 2/clinical features 2
0	0	0	0	0	0	0	0	0	12	38411716	FGD1/Aarskog–Scott syndrome/Genotype–phenotype correlation analysis/Growth hormone treatment/Short stature	10.1007/s00431-024-05484-9	12	1	author information 15/tumor suppressor 5/cancer cells 4/colony formation 4/promoted proliferation 3/adjacent normal 2/anti-fhl1 autoantibodies 2/cancer development 2/chain reaction 2/clinical features 2
0	0	12	0	0	0	0	0	0	0	34335951	Colorectal cancer/FHL1/RNA sequencing/Wnt/β-catenin signaling pathway	10.7150/jca.60543	12	1	author information 15/tumor suppressor 5/cancer cells 4/colony formation 4/promoted proliferation 3/adjacent normal 2/anti-fhl1 autoantibodies 2/cancer development 2/chain reaction 2/clinical features 2
0	0	11	0	0	0	0	0	0	0	36017148		10.1155/2022/7891222	11	1	author information 15/tumor suppressor 5/cancer cells 4/colony formation 4/promoted proliferation 3/adjacent normal 2/anti-fhl1 autoantibodies 2/cancer development 2/chain reaction 2/clinical features 2
0	0	0	0	0	0	0	11	0	0	35765958		10.17305/bjbms.2022.7206	11	1	author information 15/tumor suppressor 5/cancer cells 4/colony formation 4/promoted proliferation 3/adjacent normal 2/anti-fhl1 autoantibodies 2/cancer development 2/chain reaction 2/clinical features 2
0	0	10	0	0	0	0	0	0	0	38191984	Invasion/Migration/Papillary thyroid cancer/Proliferation/Wnt/β-catenin signaling pathway	10.1007/s12020-023-03675-2	10	1	author information 15/tumor suppressor 5/cancer cells 4/colony formation 4/promoted proliferation 3/adjacent normal 2/anti-fhl1 autoantibodies 2/cancer development 2/chain reaction 2/clinical features 2
0	0	0	0	0	0	10	0	0	0	36918555		10.1038/s41419-023-05722-2	10	1	author information 15/tumor suppressor 5/cancer cells 4/colony formation 4/promoted proliferation 3/adjacent normal 2/anti-fhl1 autoantibodies 2/cancer development 2/chain reaction 2/clinical features 2
0	0	10	0	0	0	0	0	0	0	36184652	Airway inflammation/Airway smooth muscle cells/Asthma/Four-and-a-half LIM protein 1/MAPK pathway/MicroRNA-224-5p	10.1186/s13223-022-00724-9	10	1	author information 15/tumor suppressor 5/cancer cells 4/colony formation 4/promoted proliferation 3/adjacent normal 2/anti-fhl1 autoantibodies 2/cancer development 2/chain reaction 2/clinical features 2
